x,y,z,directionX,directionY,directionZ,q_magnitude
-2.5,-1.5,-1.5,0.116449,-0.632695,0.765596,3.35763e-06
-2.25,-1.25,-1.25,0.197863,-0.515432,0.833775,9.59756e-07
-2,-1.5,-1,0.187088,-0.512401,0.838119,3.85451e-06
-1.75,-1.25,-0.75,0.128016,-0.596995,0.791966,1.62919e-06
-2.5,-1,-1,0.228486,-0.472466,0.851217,3.11345e-06
-2.25,-0.75,-0.75,0.175237,-0.558145,0.811028,1.29453e-06
-2,-1,-1.5,0.158024,-0.599305,0.784769,5.29515e-06
-1.75,-0.75,-1.25,0.235758,-0.464131,0.853815,1.53342e-06
-2.5,-1.5,-0.5,0.40255,-0.231654,0.885601,1.29834e-06
-2.25,-1.25,-0.25,0.118232,-0.594653,0.795241,5.64743e-07
-2,-1.5,0,0.364511,-0.329676,0.870887,1.0133e-06
-1.75,-1.25,0.25,0.107642,-0.572121,0.813075,5.13347e-07
-2.5,-1,0,0.404643,-0.288978,0.867615,8.84831e-07
-2.25,-0.75,0.25,0.168043,-0.538774,0.825521,4.16778e-07
-2,-1,-0.5,0.410133,-0.204399,0.888826,2.1958e-06
-1.75,-0.75,-0.25,0.156586,-0.559015,0.814238,8.89717e-07
-2.5,-1.5,0.5,0.355427,-0.399159,0.845189,4.46655e-07
-2.25,-1.25,0.75,0.13448,-0.538748,0.831665,2.54391e-07
-2,-1.5,1,0.303726,-0.455298,0.836931,3.874e-07
-1.75,-1.25,1.25,0.116453,-0.506008,0.854631,2.42069e-07
-2.5,-1,1,0.364541,-0.416373,0.832913,3.4703e-07
-2.25,-0.75,1.25,0.192833,-0.46906,0.861858,2.03268e-07
-2,-1,0.5,0.368874,-0.365207,0.854726,7.39342e-07
-1.75,-0.75,0.75,0.162785,-0.502957,0.848844,3.98752e-07
-2.5,-1.5,1.5,0.299017,-0.487561,0.820288,1.95543e-07
-2,-1,1.5,0.312167,-0.452054,0.835583,3.14353e-07
-2.5,-0.5,-1.5,0.193729,-0.579458,0.791643,4.00836e-06
-2.25,-0.25,-1.25,0.281337,-0.412671,0.866344,1.19687e-06
-2,-0.5,-1,0.262825,-0.434935,0.861252,4.99825e-06
-1.75,-0.25,-0.75,0.218346,-0.516304,0.828103,2.0316e-06
-2.5,0,-1,0.300128,-0.405232,0.863545,3.7823e-06
-2.25,0.25,-0.75,0.265078,-0.488352,0.831412,1.51398e-06
-2,0,-1.5,0.237184,-0.547526,0.80247,6.19312e-06
-1.75,0.25,-1.25,0.320822,-0.35879,0.876552,1.88393e-06
-2.5,-0.5,-0.5,0.4384,-0.164102,0.883672,1.84331e-06
-2.25,-0.25,-0.25,0.208147,-0.532467,0.820459,6.88621e-07
-2,-0.5,0,0.415601,-0.257715,0.872272,1.47255e-06
-1.75,-0.25,0.25,0.202336,-0.504038,0.839646,6.50756e-07
-2.5,0,0,0.449993,-0.221392,0.865154,1.20701e-06
-2.25,0.25,0.25,0.257919,-0.482498,0.837063,4.96394e-07
-2,0,-0.5,0.447011,-0.134761,0.884319,3.06894e-06
-1.75,0.25,-0.25,0.248821,-0.498048,0.830684,1.06726e-06
-2.5,-0.5,0.5,0.414438,-0.328274,0.848809,6.32309e-07
-2.25,-0.25,0.75,0.228638,-0.473133,0.850805,3.18833e-07
-2,-0.5,1,0.377313,-0.381434,0.843886,5.63912e-07
-1.75,-0.25,1.25,0.218603,-0.431924,0.875017,3.14938e-07
-2.5,0,1,0.4255,-0.347795,0.835457,4.75084e-07
-2.25,0.25,1.25,0.287675,-0.404997,0.867883,2.48891e-07
-2,0,0.5,0.426411,-0.294452,0.855261,1.03442e-06
-1.75,0.25,0.75,0.259377,-0.438201,0.860642,4.92617e-07
-2.5,-0.5,1.5,0.374271,-0.416568,0.828488,2.77387e-07
-2,0,1.5,0.385745,-0.380933,0.840292,4.42665e-07
-2.5,0.5,-1.5,0.267113,-0.543168,0.796002,4.40122e-06
-2.25,0.75,-1.25,0.366999,-0.314862,0.875313,1.39061e-06
-2,0.5,-1,0.334941,-0.367552,0.867594,5.95758e-06
-1.75,0.75,-0.75,0.310435,-0.446253,0.839338,2.33425e-06
-2.5,1,-1,0.367905,-0.346003,0.863092,4.27035e-06
-2.25,1.25,-0.75,0.354589,-0.428286,0.831166,1.65216e-06
-2,1,-1.5,0.311196,-0.513856,0.799443,6.63165e-06
-1.75,1.25,-1.25,0.40782,-0.258302,0.875764,2.15562e-06
-2.5,0.5,-0.5,0.47422,-0.0969633,0.87505,2.4316e-06
-2.25,0.75,-0.25,0.295998,-0.484159,0.823393,7.79459e-07
-2,0.5,0,0.461473,-0.18864,0.866866,1.9799e-06
-1.75,0.75,0.25,0.293991,-0.44964,0.843441,7.61745e-07
-2.5,1,0,0.492386,-0.155021,0.85646,1.53804e-06
-2.25,1.25,0.25,0.342902,-0.439805,0.830054,5.51604e-07
-2,1,-0.5,0.485547,-0.0646172,0.871819,3.98703e-06
-1.75,1.25,-0.25,0.338053,-0.451757,0.825613,1.1845e-06
-2.5,0.5,0.5,0.464209,-0.261696,0.846183,8.34018e-07
-2.25,0.75,0.75,0.318306,-0.419863,0.849939,3.72022e-07
-2,0.5,1,0.437187,-0.312242,0.843429,7.6355e-07
-1.75,0.75,1.25,0.316187,-0.368896,0.874037,3.79362e-07
-2.5,1,1,0.476795,-0.281988,0.832556,6.08712e-07
-2.25,1.25,1.25,0.376789,-0.352809,0.856479,2.84505e-07
-2,1,0.5,0.476568,-0.226237,0.849529,1.34575e-06
-1.75,1.25,0.75,0.350879,-0.386918,0.852748,5.64017e-07
-2.5,0.5,1.5,0.435108,-0.349632,0.829722,3.68732e-07
-2,1,1.5,0.446212,-0.312455,0.83861,5.81884e-07
-2.5,1.5,-1.5,0.33326,-0.523453,0.784177,4.47686e-06
-2,1.5,-1,0.403534,-0.306784,0.862,6.58732e-06
-2.5,1.5,-0.5,0.512848,-0.0291596,0.857984,3.01378e-06
-2,1.5,0,0.506079,-0.119583,0.854157,2.48489e-06
-2.5,1.5,0.5,0.509589,-0.195759,0.837853,1.03182e-06
-2,1.5,1,0.489111,-0.24413,0.837359,9.6493e-07
-2.5,1.5,1.5,0.487065,-0.283611,0.826034,4.60174e-07
-1.5,-1.5,-1.5,0.118451,-0.631967,0.76589,6.56289e-06
-1.25,-1.25,-1.25,0.192204,-0.523364,0.830149,1.84664e-06
-1,-1.5,-1,0.178177,-0.523575,0.83314,7.28714e-06
-0.75,-1.25,-0.75,0.122314,-0.60317,0.788178,3.05365e-06
-1.5,-1,-1,0.222304,-0.474153,0.851915,6.24083e-06
-1.25,-0.75,-0.75,0.170659,-0.55455,0.814463,2.5775e-06
-1,-1,-1.5,0.162924,-0.595715,0.786499,1.03574e-05
-0.75,-0.75,-1.25,0.23217,-0.470168,0.851492,2.94869e-06
-1.5,-1.5,-0.5,0.380425,-0.249648,0.890479,2.46159e-06
-1.25,-1.25,-0.25,0.101944,-0.596577,0.796055,1.08158e-06
-1,-1.5,0,0.332726,-0.347111,0.876816,1.83724e-06
-0.75,-1.25,0.25,0.075126,-0.579101,0.811787,9.38028e-07
-1.5,-1,0,0.377043,-0.299435,0.876457,1.69883e-06
-1.25,-0.75,0.25,0.141599,-0.53632,0.832052,8.07747e-07
-1,-1,-0.5,0.390177,-0.22377,0.893134,4.17205e-06
-0.75,-0.75,-0.25,0.14212,-0.559352,0.816656,1.70601e-06
-1.5,-1.5,0.5,0.314485,-0.408606,0.85682,8.1366e-07
-1.25,-1.25,0.75,0.0903146,-0.542412,0.835244,4.69926e-07
-1,-1.5,1,0.245698,-0.46694,0.84947,6.6521e-07
-0.75,-1.25,1.25,0.053281,-0.514136,0.856052,4.23084e-07
-1.5,-1,1,0.318678,-0.421061,0.849207,6.32483e-07
-1.25,-0.75,1.25,0.141045,-0.468693,0.872028,3.77278e-07
-1,-1,0.5,0.330342,-0.376376,0.865572,1.34993e-06
-0.75,-0.75,0.75,0.119508,-0.506071,0.854172,7.36555e-07
-1.5,-1.5,1.5,0.234468,-0.493367,0.837624,3.35842e-07
-1,-1,1.5,0.248985,-0.460024,0.852282,5.393e-07
-1.5,-0.5,-1.5,0.202305,-0.564609,0.800181,8.27124e-06
-1.25,-0.25,-1.25,0.275525,-0.410468,0.869254,2.43123e-06
-1,-0.5,-1,0.259339,-0.434813,0.86237,1.00357e-05
-0.75,-0.25,-0.75,0.21605,-0.510009,0.832594,4.04997e-06
-1.5,0,-1,0.298809,-0.396437,0.868073,7.95163e-06
-1.25,0.25,-0.75,0.263947,-0.472782,0.84072,3.16226e-06
-1,0,-1.5,0.249321,-0.528196,0.811695,1.27901e-05
