x,y,z,directionX,directionY,directionZ,q_magnitude
-2.5,-1.5,-1.5,0.252537,-0.384177,-0.88805,9.73365e-07
-2.25,-1.25,-1.25,0.397186,0.147467,-0.905813,5.62331e-07
-2,-1.5,-1,0.35176,-0.371927,-0.859032,2.34936e-06
-1.75,-1.25,-0.75,0.440074,0.344156,-0.829392,1.43407e-06
-2.5,-1,-1,0.266951,-0.461534,-0.846005,1.48161e-06
-2.25,-0.75,-0.75,0.470194,0.263554,-0.842292,9.39035e-07
-2,-1,-1.5,0.245305,-0.297826,-0.922564,1.37442e-06
-1.75,-0.75,-1.25,0.317726,0.161656,-0.9343,8.49409e-07
-2.5,-1.5,-0.5,0.262554,-0.591274,-0.762536,2.74701e-06
-2.25,-1.25,-0.25,0.556686,0.422592,-0.715204,1.65958e-06
-2,-1.5,0,0.33387,-0.603453,-0.724138,8.94379e-06
-1.75,-1.25,0.25,0.566941,0.486531,-0.664729,5.16946e-06
-2.5,-1,0,0.144342,-0.676304,-0.722342,5.83158e-06
-2.25,-0.75,0.25,0.569861,0.437123,-0.695832,3.53205e-06
-2,-1,-0.5,0.334735,-0.480189,-0.810784,4.04468e-06
-1.75,-0.75,-0.25,0.490688,0.405304,-0.771332,2.59391e-06
-2.5,-1.5,0.5,0.0974893,-0.768017,-0.632966,1.62329e-05
-2.25,-1.25,0.75,0.600668,0.410857,-0.685853,9.74989e-06
-2,-1.5,1,0.471363,-0.32177,-0.821146,3.63679e-05
-1.75,-1.25,1.25,0.608377,0.226553,-0.760626,1.93957e-05
-2.5,-1,1,0.287637,-0.397109,-0.871533,2.4945e-05
-2.25,-0.75,1.25,0.547133,0.21808,-0.808138,1.36898e-05
-2,-1,0.5,0.203758,-0.696711,-0.687806,2.17483e-05
-1.75,-0.75,0.75,0.56184,0.384807,-0.732298,1.43453e-05
-2.5,-1.5,1.5,0.471055,-0.176388,-0.864288,3.81212e-05
-2,-1,1.5,0.494592,-0.0749442,-0.865888,5.62931e-05
-2.5,-0.5,-1.5,0.222454,-0.362169,-0.905178,9.23506e-07
-2.25,-0.25,-1.25,0.356945,0.0861666,-0.930143,5.97828e-07
-2,-0.5,-1,0.288465,-0.370165,-0.883043,2.17197e-06
-1.75,-0.25,-0.75,0.398021,0.256205,-0.880873,1.47034e-06
-2.5,0,-1,0.225241,-0.438192,-0.870204,1.35292e-06
-2.25,0.25,-0.75,0.426529,0.19205,-0.883849,9.63617e-07
-2,0,-1.5,0.208958,-0.303308,-0.929699,1.28011e-06
-1.75,0.25,-1.25,0.289091,0.0912153,-0.952946,8.83737e-07
-2.5,-0.5,-0.5,0.204554,-0.558073,-0.804184,2.52255e-06
-2.25,-0.25,-0.25,0.51173,0.342905,-0.787749,1.72235e-06
-2,-0.5,0,0.232872,-0.595307,-0.769012,8.14181e-06
-1.75,-0.25,0.25,0.520182,0.405753,-0.751515,5.21067e-06
-2.5,0,0,0.0571513,-0.63748,-0.768345,5.24614e-06
-2.25,0.25,0.25,0.52395,0.352262,-0.775492,3.56297e-06
-2,0,-0.5,0.250346,-0.479016,-0.841351,3.62704e-06
-1.75,0.25,-0.25,0.445608,0.313593,-0.838507,2.57443e-06
-2.5,-0.5,0.5,-0.00831197,-0.729041,-0.68442,1.4733e-05
-2.25,-0.25,0.75,0.536962,0.345898,-0.769433,9.92475e-06
-2,-0.5,1,0.34766,-0.29992,-0.888358,3.58151e-05
-1.75,-0.25,1.25,0.511465,0.17814,-0.840636,1.93011e-05
-2.5,0,1,0.187127,-0.335381,-0.923311,2.45253e-05
