index,x,y
16,113,29
10,98,26
81,66,30
76,75,58
11,104,54
80,51,48
15,128,44
12,125,63
77,59,61
93,81,70
28,97,70
111,51,86
46,127,87
19,139,79
84,41,79
85,29,97
20,148,92
78,69,92
13,108,92
128,84,101
63,95,101
27,121,96
41,112,93
92,56,99
106,65,95
18,142,122
83,39,125
90,52,135
25,125,136
110,61,137
45,116,136
60,109,137
125,69,140
89,83,168
24,96,167
70,45,156
5,133,156
67,87,156
86,63,169
2,92,155
21,115,169
102,73,164
37,105,164
87,75,180
53,89,157
22,103,180
69,51,178
4,127,178
68,80,186
3,98,185
